# u, t(=u+rB), psi0t_rB  — ZccmJl unringed quiescent-BC pulse run
# rwt=40 rB=41 Z=1e-3 n=65 du=7.8125e-4 paper-pulse(yc=0,ymin=-0.8,ymax=0.8,tauy=0.15)
11.900000000006294,52.900000000006294,-1.7159585656065653e-6
11.925000000006271,52.92500000000627,-1.7155890718855922e-6
11.950000000006249,52.95000000000625,-1.7151966131476336e-6
11.975000000006226,52.975000000006226,-1.7147811490875603e-6
12.000000000006203,53.0000000000062,-1.7143426398376788e-6
12.02500000000618,53.02500000000618,-1.713881045970008e-6
12.050000000006158,53.05000000000616,-1.7133963284966722e-6
12.075000000006135,53.075000000006135,-1.712888448872584e-6
12.100000000006112,53.10000000000611,-1.7123573689955371e-6
12.12500000000609,53.12500000000609,-1.7118030512090295e-6
12.150000000006067,53.15000000000607,-1.7112254583020312e-6
12.175000000006044,53.175000000006044,-1.7106245535119872e-6
12.200000000006021,53.20000000000602,-1.7100003005247744e-6
12.225000000005998,53.225000000006,-1.7093526634770327e-6
12.250000000005976,53.250000000005976,-1.708681606956718e-6
12.275000000005953,53.27500000000595,-1.707987096005767e-6
12.30000000000593,53.30000000000593,-1.707269096119238e-6
12.325000000005907,53.32500000000591,-1.7065275732484937e-6
12.350000000005885,53.350000000005885,-1.7057624938019598e-6
12.375000000005862,53.37500000000586,-1.7049738246461774e-6
12.40000000000584,53.40000000000584,-1.704161533107116e-6
12.425000000005817,53.42500000000582,-1.703325586971316e-6
12.450000000005794,53.450000000005794,-1.702465954487563e-6
12.475000000005771,53.47500000000577,-1.701582604367107e-6
12.500000000005748,53.50000000000575,-1.7006755057858976e-6
12.525000000005726,53.525000000005726,-1.6997446283857567e-6
12.550000000005703,53.5500000000057,-1.6987899422744792e-6
12.57500000000568,53.57500000000568,-1.6978114180282009e-6
12.600000000005657,53.60000000000566,-1.6968090266921832e-6
12.625000000005635,53.625000000005635,-1.695782739780941e-6
12.650000000005612,53.65000000000561,-1.694732529280525e-6
12.67500000000559,53.67500000000559,-1.6936583676496584e-6
12.700000000005566,53.700000000005566,-1.6925602278202243e-6
12.725000000005544,53.725000000005544,-1.6914380831983882e-6
12.750000000005521,53.75000000000552,-1.690291907666383e-6
12.775000000005498,53.7750000000055,-1.6891216755822066e-6
12.800000000005475,53.800000000005475,-1.6879273617818311e-6
12.825000000005453,53.82500000000545,-1.6867089415796973e-6
12.85000000000543,53.85000000000543,-1.6854663907700923e-6
12.875000000005407,53.87500000000541,-1.68419968562718e-6
12.900000000005384,53.900000000005384,-1.682908802907119e-6
12.925000000005362,53.92500000000536,-1.6815937198487743e-6
12.950000000005339,53.95000000000534,-1.6802544141738377e-6
